Producto,Descripción,Partida / Lote,Certificado,Observaciones
AC0150BWN2R505,"BRIDA 1,5"" BWN #300 RF SCH80 A105",,,
AC0150BWN3R505,"BRIDA 1,5"" BWN #600 RF SCH80 A105",,,
AC0150BWN4J505,"BRIDA 1,5"" BWN #900/1500 RTJ SCH80 A105",,,
AC0150BWN4R505,"BRIDA 1,5"" BWN #900/1500 RF SCH80 A105",,,
AC0150BWN4R705,"BRIDA 1,5"" BWN #900/1500 RF SCH160 A105",,,
AC0175-4RC80527,"RED CONC 1"" X 3/4"" SCH 80 WPB A234",,,
AC0175-4RE40527,"RED EXC 1"" X 3/4"" SCH 40 WPB A234",,,
AC0200-23C40220,"CAÑO CC 2"" SCH 40 CONDUIT + CUPLA 6,4M",,,
AC0200-23S10316,"CAÑO S/C 2"" SCH 10 ASTM A312 316L",,,
AC0200-23S40106,"CAÑO S/C 2"" SCH 40 ASTM A106 GR B",,,
AC0200-23S70106,"CAÑO S/C 2"" SCH 160 ASTM A106 GR B",,,
AC0200-23S80106,"CAÑO S/C 2"" SCH 80 ASTM A106 GR B",,,
AC0200-23S90106,"CAÑO S/C 2"" SCH XXS ASTM A106 GR B",,,
AC0200-4I45528,"CODO RC 90° 2"" SCH 160 WPB A234",,,
AC0200-4I490316,"CODO LR 90° 2"" SCH 40 A403 316",,,
AC0200-4I490420,"CODO LR 90° 2"" SCH 40 A420 WPL6",,,
AC0200-4I490527,"CODO LR 90° 2"" SCH 40 WPB A234",,,
AC0200-4I490546,"CODO LR 90° 2"" SCH 40 WPHY GR46",,,
AC0200-4I745527,"CODO LR 45° 2"" SCH 160 WPB A234",,,
AC0200-4I790527,"CODO LR 90° 2"" SCH 160 WPB A234",,,
AC0200-4I845527,"CODO LR 45° 2"" SCH 80 WPB A234",,,
AC0200-4I890316,"CODO LR 90° 2"" SCH 80 A403 316",,,
AC0200-4I890527,"CODO LR 90° 2"" SCH 80 WPB A234",,,
AC0200-4I890528,"CODO RC 90° 2"" SCH 80 WPB A234",,,
AC0200-4I945527,"CODO LR 45° 2"" SCH XXS WPB A234",,,
AC0200-4I990527,"CODO LR 90° 2"" SCH XXS WPB A234",,,
AC0200-4K240316,"TEE TOT 2"" SCH 40 A403 316",,,
AC0200-4K270527,"TEE TOT 2"" SCH 160 WPB A234",,,
AC0200-4K280527,"TEE TOT 2"" SCH 80 WPB A234",,,
AC0200-4K290527,"TEE TOT 2"" SCH XXS WPB A234",,,
AC0200-94040527,"CASQUETE 2"" SCH 40 WPB A234",,,
AC0200-94070527,"CASQUETE 2"" SCH 160 WPB A234",,,
AC0200-94080527,"CASQUETE 2"" SCH 80 WPB A234",,,
AC0200BCI1F305,"BRIDA 2"" BCI #150 FF A105",,,
AC0200BCI1R305,"BRIDA 2"" BCI #150 RF A105",,,
AC0200BCI1R322,"BRIDA 2"" BCI #150 RF GALV",,,
AC0200BCI2R305,"BRIDA 2"" BCI #300 RF A105",,,
AC0200BCI2R334,"BRIDA 2"" BCI #300 RF 304L",,,
AC0200BCI2R336,"BRIDA 2"" BCI #300 RF 316L",,,
AC0200BCI3R305,"BRIDA 2"" BCI #600 RF A105",,,
AC0200BCI3R336,"BRIDA 2"" BCI #600 RF 316L",,,
AC0200BCI4J305,"BRIDA 2"" BCI #900/1500 RTJ A105",,,
AC0200BCI4R305,"BRIDA 2"" BCI #900/1500 RF A105",,,
AC0200BPP1F305,"JGO BR. PORTA PLACA 2"" #150 SCH40 A105",,,
AC0200BPP2F305,"JGO BR. PORTA PLACA 2"" #300 SCH40 A105",,,
AC0200BRO1R305,"BRIDA ROSCADA 2"" BRO #150 RF A105",,,
AC0200BSO1F305,"BRIDA 2"" BSO #150 FF  A105",,,
AC0200BSO1R305,"BRIDA 2"" BSO #150 RF A105",,,
AC0200BSO1R336,"BRIDA 2"" BSO #150 RF A182 316L",,,
AC0200BSO2R305,"BRIDA 2"" BSO #300 RF A105",,,
AC0200BSO3R305,"BRIDA 2"" BSO #600 RF A105",,,
AC0200BSW1R505,"BRIDA 2"" BSW #150 RF SCH80 A105",,,
AC0200BSW1R516,"BRIDA 2"" BSW #150 RF SCH80 316",,,
AC0200BWN1R305,"BRIDA 2"" BWN #150 RF SCH40 A105",,,
AC0200BWN1R336,"BRIDA 2"" BWN #150 RF SCH40 316L",,,
AC0200BWN1R805,"BRIDA 2"" BWN #150 RF SCHXXS A105",,,
AC0200BWN2R136,"BRIDA 2"" BWN #300 RF SCH10 316L",,,
AC0200BWN2R305,"BRIDA 2"" BWN #300 RF SCH40 A105",,,
AC0200BWN2R382,"BRIDA 2"" BWN #300 RF SCH40 A350 GR LF2",,,
AC0200BWN2R505,"BRIDA 2"" BWN #300 RF SCH80 A105",,,
AC0200BWN2R705,"BRIDA 2"" BWN #300 RF SCH160 A105",,,
AC0200BWN3R305,"BRIDA 2"" BWN #600 RF SCH40 A105",,,
AC0200BWN3R505,"BRIDA 2"" BWN #600 RF SCH80 A105",,,
AC0200BWN3R705,"BRIDA 2"" BWN #600 RF SCH160 A105",,,
AC0200BWN3R794,"BRIDA 2"" BWN #600 RF SCH160 A694 GR70",,,
AC0200BWN4J505,"BRIDA 2"" BWN #900/1500 RTJ SCH80 A105",,,
AC0200BWN4J705,"BRIDA 2"" BWN #900/1500 RTJ SCH160 A105",,,
AC0200BWN4J736,"BRIDA 2"" BWN #900/1500 RTJ SCH160 316",,,
AC0200BWN4R505,"BRIDA 2"" BWN #900/1500 RF SCH80 A105",,,
AC0200BWN4R705,"BRIDA 2"" BWN #900/1500 RF SCH160 A105",,,
AC0200BWN4R752,"BRIDA 2"" BWN 900/1500 RF SCH160 A694 F52",,,
AC0200BWN6J705,"BRIDA 2"" BWN #2500 RTJ SCH160 A105",,,
AC0201-4K340527,"TEE RED 2"" X 1"" SCH 40 WPB A234",,,
AC0201-4K348527,"TEE RED 2"" X 1"" SCH 40/80 WPB A234",,,
AC0201-4K370527,"TEE RED 2"" X 1"" SCH 160 WPB A234",,,
AC0201-4K380527,"TEE RED 2"" X 1"" SCH 80 WPB A234",,,
AC0201-4RC40316,"RED CONC 2"" X 1"" SCH 40 A403 316",,,
AC0201-4RC40527,"RED CONC 2"" X 1"" SCH 40 WPB A234",,,
AC0201-4RC48527,"RED CONC 2"" X 1"" SCH 40/80 WPB A234",,,
AC0201-4RC70527,"RED CONC 2"" X 1"" SCH 160 WPB A234",,,
AC0201-4RC80527,"RED CONC 2"" X 1"" SCH 80 WPB A234",,,
AC0201-4RE40527,"RED EXC 2"" X 1"" SCH 40 WPB A234",,,
AC0201-4RE80527,"RED EXC 2"" X 1"" SCH 80 WPB A234",,,
AC0212-4RC40527,"RED CONC 2"" X 1 1/4"" SCH 40 WPB A234",,,
AC0212-4RC80527,"RED CONC 2"" X 1 1/4"" SCH 80 WPB A234",,,
AC0215-4K340527,"TEE RED 2"" X 1 1/2"" SCH 40 WPB A234",,,
AC0215-4K380527,"TEE RED 2"" X 1 1/2"" SCH 80 WPB A234",,,
AC0215-4RC40527,"RED CONC 2"" X 1 1/2"" SCH 40 WPB A234",,,
AC0215-4RC80527,"RED CONC 2"" X 1 1/2"" SCH 80 WPB A234",,,
AC0215-4RE40527,"RED EXC 2"" X 1 1/2"" SCH 40 WPB A234",,,
AC0215-4RE80527,"RED EXC 2"" X 1,5"" SCH 80 WPB A234",,,
AC0250-23S40106,"CAÑO S/C 21/2"" SCH 40 ASTM A106 GR B",,,
AC0250-4I445527,"CODO LR 45° 2 1/2"" SCH 40 WPB A234",,,
AC0250-4I490527,"CODO LR 90° 2 1/2"" SCH 40 WPB A234",,,
AC0250-4I845527,"CODO LR 45° 2 1/2"" SCH 80 WPB A234",,,
AC0250-4I890527,"CODO LR 90° 2 1/2"" SCH 80 WPB A234",,,
AC0250-4I890528,"CODO RC 90° 2 1/2"" SCH 80 WPB A234",,,
AC0250-4K240527,"TEE TOT 2 1/2"" SCH 40 WPB A234",,,
AC0250-4K280527,"TEE TOT 2 1/2"" SCH 80 WPB A234",,,
AC0250-94040527,"CASQUETE 2 1/2"" SCH 40 WPB A234",,,
AC0250-94080527,"CASQUETE 2 1/2"" SCH 80 WPB A234",,,
AC0250BCI1R305,"BRIDA 2,5"" BCI #150 RF A105",,,
AC0250BCI2R305,"BRIDA 2,5"" BCI #300 RF A105",,,
AC0250BCI3R305,"BRIDA 2,5"" BCI #600 RF A105",,,
AC0250BSO1R305,"BRIDA 2,5"" BSO #150 RF A105",,,
AC0250BSO2R305,"BRIDA 2,5"" BSO #300 RF A105",,,
AC0250BSO3R305,"BRIDA 2,5"" BSO #600 RF A105",,,
AC0250BWN2R305,"BRIDA 2,5"" BWN #300 RF SCH40 A105",,,
AC0250BWN2R505,"BRIDA 2,5"" BWN #300 RF SCH80 A105",,,
AC0275-4RC70527,"RED CONC 2"" X 3/4"" SCH 160 WPB A234",,,
AC0275BRE01R216,"BRIDA RED. 2"" X 3/4"" #150 RF NPT 316",,,
AC0300-23C40220,"CAÑO CC 3"" SCH 40 CONDUIT + CUPLA 6,4M",,,
AC0300-23S10316,"CAÑO S/C 3"" SCH 10 A312 316",,,
AC0300-23S40106,"CAÑO S/C 3"" SCH 40 ASTM A106 GR B",,,
AC0300-23S40304,"CAÑO S/C 3"" SCH 40 A312 304",,,
AC0300-23S80106,"CAÑO S/C 3"" SCH 80 ASTM A106 GR B",,,
AC0300-4I445527,"CODO LR 45° 3"" SCH 40 WPB A234",,,
AC0300-4I490527,"CODO LR 90° 3"" SCH 40 WPB A234",,,
AC0300-4I790527,"CODO LR 90° 3"" SCH 160 WPB A234",,,
AC0300-4I845527,"CODO LR 45° 3"" SCH 80 WPB A234",,,
AC0300-4I845529,"CODO LR 45° 3"" SCH 80 WPHY GR 52",,,
AC0300-4I890527,"CODO LR 90° 3"" SCH 80 WPB A234",,,
AC0300-4I990527,"CODO LR 90° 3"" SCH XXS WPB A234",,,
AC0300-4K240527,"TEE TOT 3"" SCH 40 WPB A234",,,
AC0300-4K270527,"TEE TOT 3"" SCH 160 WPB A234",,,
